Name,Link,Tags,Description,Property 1
Datalab @ Stanford University,https://datalab.stanford.edu/,"research-lab,univeristy","the impact lab, multidisciplinary teams of advanced students work to make an impact on projects such as poverty alleviation and data journalism.",
Social Data Science Lab @ Cardiff university,http://socialdatalab.net/,"research-lab,univeristy",Economic and Social Research Council (ESRC) Data Investment and forms part of the £64 million Big Data Network for the social sciences,
Data Justice lab @ Cardiff university,https://datajusticelab.org/data-justice-conference/data-justice-2018/,"research-lab,univeristy","The Data Justice Lab examines the intricate relationship between datafication and social justice, highlighting the politics and impacts of data-driven processes and big data. School of Journalism, Media and Culture",
Data and Society,https://datasociety.net/,research-lab,Data & Society is a research institute in New York City that is focused on the social and cultural issues arising from data-centric and automated technologies.,
AI Now Institute,https://ainowinstitute.org/,"program,research-lab","interdisciplinary research center dedicated to understanding the social implications of artificial intelligence. focuses on: labour & automation, rights and liberties, bias and inclusions, safety & critical infrastructure",
TASCHA Technology and Social Change (TASCHA) Group(formerly the Center for Information & Societ,,"research-lab,univeristy",,
Stanford Digital Civil Society Lab,https://pacscenter.stanford.edu/research/,"research-lab,univeristy","Stanford PACS encourages interdisciplinary approaches, leveraging the intellectual assets of a diverse, world-class faculty across the University. Below is the list of our active research project and historical research initiatives.",
Abdul Latif Jameel Poverty Action Lab (J-PAL),https://www.povertyactionlab.org/about-j-pal,research-lab,"global research center working to reduce poverty by ensuring that policy is informed by scientific evidence. Anchored by a network of 168 affiliated professors at universities around the world, J-PAL conducts randomized impact evaluations to answer critical questions in the fight against poverty.",
"Stanford Symbolic Systems ",http://exploredegrees.stanford.edu/schoolofhumanitiesandsciences/symbolicsystems/#courseinventory,"program,univeristy","The observation that both human beings and computers can manipulate symbols lies at the heart of Symbolic Systems, an interdisciplinary program focusing on the relationship between natural and artificial systems that represent, process, and act on information.",
Stanford PACS Fellowships,https://pacscenter.stanford.edu/opportunities/fellowships/,"program,research-lab",The Center on Philanthropy and Civil Society (PACS) provides fellowships to support the research of doctoral and postdoctoral students.,
