Category: All categories

Week,triple talaq: (India)
2017-01-01,1
2017-01-08,1
2017-01-15,1
2017-01-22,1
2017-01-29,1
2017-02-05,2
2017-02-12,2
2017-02-19,2
2017-02-26,2
2017-03-05,1
2017-03-12,2
2017-03-19,2
2017-03-26,10
2017-04-02,4
2017-04-09,5
2017-04-16,13
2017-04-23,9
2017-04-30,8
2017-05-07,22
2017-05-14,25
2017-05-21,8
2017-05-28,4
2017-06-04,2
2017-06-11,2
2017-06-18,1
2017-06-25,1
2017-07-02,1
2017-07-09,1
2017-07-16,1
2017-07-23,1
2017-07-30,1
2017-08-06,1
2017-08-13,2
2017-08-20,100
2017-08-27,9
2017-09-03,5
2017-09-10,4
2017-09-17,2
2017-09-24,3
2017-10-01,2
2017-10-08,2
2017-10-15,1
2017-10-22,2
2017-10-29,2
2017-11-05,2
2017-11-12,2
2017-11-19,3
2017-11-26,2
2017-12-03,2
2017-12-10,4
2017-12-17,3
2017-12-24,26
2017-12-31,22
