Category: All categories

Week,right to privacy: (India),supreme court ruling: (India)
2017-01-01,1,1
2017-01-08,1,1
2017-01-15,1,1
2017-01-22,1,1
2017-01-29,1,1
2017-02-05,1,1
2017-02-12,1,1
2017-02-19,1,1
2017-02-26,1,1
2017-03-05,1,1
2017-03-12,1,1
2017-03-19,1,1
2017-03-26,<1,3
2017-04-02,1,2
2017-04-09,1,2
2017-04-16,1,2
2017-04-23,1,1
2017-04-30,1,1
2017-05-07,1,1
2017-05-14,1,1
2017-05-21,<1,1
2017-05-28,1,1
2017-06-04,<1,1
2017-06-11,1,1
2017-06-18,<1,1
2017-06-25,1,4
2017-07-02,1,1
2017-07-09,1,1
2017-07-16,24,1
2017-07-23,8,1
2017-07-30,8,1
2017-08-06,4,1
2017-08-13,3,1
2017-08-20,99,4
2017-08-27,40,1
2017-09-03,18,1
2017-09-10,13,1
2017-09-17,11,2
2017-09-24,100,1
2017-10-01,11,<1
2017-10-08,13,1
2017-10-15,15,1
2017-10-22,9,1
2017-10-29,9,2
2017-11-05,7,2
2017-11-12,6,1
2017-11-19,8,2
2017-11-26,5,1
2017-12-03,5,1
2017-12-10,5,1
2017-12-17,5,1
2017-12-24,5,1
2017-12-31,5,1
