Category: All categories

Week,gauri lankesh: (India)
2017-01-01,0
2017-01-08,<1
2017-01-15,0
2017-01-22,<1
2017-01-29,0
2017-02-05,0
2017-02-12,<1
2017-02-19,<1
2017-02-26,<1
2017-03-05,<1
2017-03-12,<1
2017-03-19,0
2017-03-26,<1
2017-04-02,0
2017-04-09,<1
2017-04-16,0
2017-04-23,0
2017-04-30,<1
2017-05-07,0
2017-05-14,0
2017-05-21,0
2017-05-28,0
2017-06-04,<1
2017-06-11,0
2017-06-18,0
2017-06-25,<1
2017-07-02,0
2017-07-09,<1
2017-07-16,0
2017-07-23,<1
2017-07-30,0
2017-08-06,0
2017-08-13,<1
2017-08-20,0
2017-08-27,0
2017-09-03,100
2017-09-10,14
2017-09-17,3
2017-09-24,2
2017-10-01,5
2017-10-08,2
2017-10-15,2
2017-10-22,1
2017-10-29,1
2017-11-05,1
2017-11-12,1
2017-11-19,1
2017-11-26,1
2017-12-03,1
2017-12-10,1
2017-12-17,1
2017-12-24,1
2017-12-31,<1
