Category: All categories

Week,gorakhpur: (India),hospital death: (India)
2017-01-01,37,<1
2017-01-08,36,<1
2017-01-15,37,<1
2017-01-22,37,<1
2017-01-29,37,1
2017-02-05,38,1
2017-02-12,36,<1
2017-02-19,36,1
2017-02-26,45,<1
2017-03-05,46,<1
2017-03-12,41,1
2017-03-19,48,1
2017-03-26,42,1
2017-04-02,39,<1
2017-04-09,39,<1
2017-04-16,42,1
2017-04-23,44,1
2017-04-30,45,1
2017-05-07,44,<1
2017-05-14,47,1
2017-05-21,49,<1
2017-05-28,50,<1
2017-06-04,47,<1
2017-06-11,49,1
2017-06-18,54,<1
2017-06-25,54,<1
2017-07-02,50,<1
2017-07-09,47,<1
2017-07-16,48,<1
2017-07-23,41,<1
2017-07-30,41,<1
2017-08-06,56,1
2017-08-13,100,1
2017-08-20,63,1
2017-08-27,50,1
2017-09-03,46,1
2017-09-10,44,1
2017-09-17,42,<1
2017-09-24,46,1
2017-10-01,47,<1
2017-10-08,52,1
2017-10-15,54,<1
2017-10-22,50,1
2017-10-29,48,1
2017-11-05,47,<1
2017-11-12,46,<1
2017-11-19,42,1
2017-11-26,50,1
2017-12-03,43,1
2017-12-10,43,<1
2017-12-17,44,1
2017-12-24,47,<1
2017-12-31,49,<1
