Category: All categories

Week,NITI aayog: (India)
2015-01-04,100
2015-01-11,70
2015-01-18,70
2015-01-25,44
2015-02-01,49
2015-02-08,84
2015-02-15,66
2015-02-22,60
2015-03-01,25
2015-03-08,32
2015-03-15,27
2015-03-22,23
2015-03-29,31
2015-04-05,28
2015-04-12,34
2015-04-19,28
2015-04-26,29
2015-05-03,31
2015-05-10,37
2015-05-17,50
2015-05-24,33
2015-05-31,34
2015-06-07,35
2015-06-14,32
2015-06-21,28
2015-06-28,41
2015-07-05,33
2015-07-12,43
2015-07-19,35
2015-07-26,35
2015-08-02,41
2015-08-09,34
2015-08-16,62
2015-08-23,43
2015-08-30,37
2015-09-06,32
2015-09-13,34
2015-09-20,26
2015-09-27,25
2015-10-04,30
2015-10-11,24
2015-10-18,27
2015-10-25,38
2015-11-01,34
2015-11-08,21
2015-11-15,28
2015-11-22,27
2015-11-29,29
2015-12-06,24
2015-12-13,23
2015-12-20,20
2015-12-27,44
