Category: All categories

Week,good and service tax: (India)
2016-01-03,0
2016-01-10,17
2016-01-17,17
2016-01-24,17
2016-01-31,34
2016-02-07,0
2016-02-14,32
2016-02-21,0
2016-02-28,17
2016-03-06,34
2016-03-13,0
2016-03-20,52
2016-03-27,0
2016-04-03,0
2016-04-10,0
2016-04-17,17
2016-04-24,17
2016-05-01,0
2016-05-08,48
2016-05-15,16
2016-05-22,0
2016-05-29,16
2016-06-05,16
2016-06-12,16
2016-06-19,15
2016-06-26,16
2016-07-03,23
2016-07-10,16
2016-07-17,31
2016-07-24,30
2016-07-31,100
2016-08-07,62
2016-08-14,41
2016-08-21,55
2016-08-28,38
2016-09-04,16
2016-09-11,38
2016-09-18,44
2016-09-25,36
2016-10-02,14
2016-10-09,15
2016-10-16,14
2016-10-23,0
2016-10-30,45
2016-11-06,14
2016-11-13,15
2016-11-20,14
2016-11-27,40
2016-12-04,13
2016-12-11,19
2016-12-18,25
2016-12-25,19
