Category: All categories

Week,surgical strike: (India)
2016-01-03,<1
2016-01-10,<1
2016-01-17,0
2016-01-24,0
2016-01-31,<1
2016-02-07,<1
2016-02-14,<1
2016-02-21,0
2016-02-28,<1
2016-03-06,0
2016-03-13,0
2016-03-20,0
2016-03-27,<1
2016-04-03,0
2016-04-10,<1
2016-04-17,<1
2016-04-24,0
2016-05-01,<1
2016-05-08,<1
2016-05-15,<1
2016-05-22,<1
2016-05-29,0
2016-06-05,0
2016-06-12,<1
2016-06-19,<1
2016-06-26,<1
2016-07-03,<1
2016-07-10,<1
2016-07-17,<1
2016-07-24,0
2016-07-31,<1
2016-08-07,0
2016-08-14,<1
2016-08-21,<1
2016-08-28,0
2016-09-04,<1
2016-09-11,0
2016-09-18,1
2016-09-25,100
2016-10-02,41
2016-10-09,13
2016-10-16,6
2016-10-23,4
2016-10-30,3
2016-11-06,7
2016-11-13,4
2016-11-20,4
2016-11-27,3
2016-12-04,2
2016-12-11,1
2016-12-18,1
2016-12-25,1
