Category: All categories

Week,bihar liquor ban: (India)
2016-01-03,3
2016-01-10,3
2016-01-17,0
2016-01-24,0
2016-01-31,0
2016-02-07,0
2016-02-14,0
2016-02-21,0
2016-02-28,0
2016-03-06,3
2016-03-13,8
2016-03-20,3
2016-03-27,14
2016-04-03,100
2016-04-10,46
2016-04-17,30
2016-04-24,20
2016-05-01,18
2016-05-08,15
2016-05-15,16
2016-05-22,14
2016-05-29,11
2016-06-05,14
2016-06-12,11
2016-06-19,10
2016-06-26,5
2016-07-03,12
2016-07-10,8
2016-07-17,3
2016-07-24,10
2016-07-31,10
2016-08-07,12
2016-08-14,16
2016-08-21,8
2016-08-28,13
2016-09-04,5
2016-09-11,8
2016-09-18,7
2016-09-25,96
2016-10-02,73
2016-10-09,9
2016-10-16,8
2016-10-23,11
2016-10-30,6
2016-11-06,4
2016-11-13,6
2016-11-20,9
2016-11-27,3
2016-12-04,4
2016-12-11,8
2016-12-18,7
2016-12-25,4
