Category: All categories

Week,Padmaavat: (India)
2017-01-01,2
2017-01-08,1
2017-01-15,1
2017-01-22,7
2017-01-29,9
2017-02-05,2
2017-02-12,1
2017-02-19,1
2017-02-26,1
2017-03-05,1
2017-03-12,2
2017-03-19,2
2017-03-26,2
2017-04-02,1
2017-04-09,1
2017-04-16,1
2017-04-23,1
2017-04-30,1
2017-05-07,1
2017-05-14,1
2017-05-21,1
2017-05-28,1
2017-06-04,1
2017-06-11,1
2017-06-18,1
2017-06-25,1
2017-07-02,1
2017-07-09,1
2017-07-16,1
2017-07-23,1
2017-07-30,1
2017-08-06,1
2017-08-13,1
2017-08-20,1
2017-08-27,2
2017-09-03,1
2017-09-10,2
2017-09-17,13
2017-09-24,12
2017-10-01,20
2017-10-08,63
2017-10-15,25
2017-10-22,37
2017-10-29,39
2017-11-05,43
2017-11-12,76
2017-11-19,100
2017-11-26,80
2017-12-03,46
2017-12-10,28
2017-12-17,24
2017-12-24,25
2017-12-31,23
