Category: All categories

Week,Patidar: (India),hardik patel: (India)
2015-01-04,1,<1
2015-01-11,1,<1
2015-01-18,1,<1
2015-01-25,1,<1
2015-02-01,1,<1
2015-02-08,1,<1
2015-02-15,2,<1
2015-02-22,1,<1
2015-03-01,2,<1
2015-03-08,1,<1
2015-03-15,2,<1
2015-03-22,1,<1
2015-03-29,2,<1
2015-04-05,1,<1
2015-04-12,1,<1
2015-04-19,1,<1
2015-04-26,1,<1
2015-05-03,1,<1
2015-05-10,1,<1
2015-05-17,1,<1
2015-05-24,1,<1
2015-05-31,1,<1
2015-06-07,1,<1
2015-06-14,1,<1
2015-06-21,1,<1
2015-06-28,1,<1
2015-07-05,2,<1
2015-07-12,1,<1
2015-07-19,1,<1
2015-07-26,2,<1
2015-08-02,2,1
2015-08-09,4,1
2015-08-16,11,10
2015-08-23,49,100
2015-08-30,7,54
2015-09-06,4,9
2015-09-13,6,14
2015-09-20,5,15
2015-09-27,3,6
2015-10-04,3,4
2015-10-11,4,6
2015-10-18,3,12
2015-10-25,2,4
2015-11-01,2,3
2015-11-08,2,2
2015-11-15,2,1
2015-11-22,3,2
2015-11-29,2,3
2015-12-06,1,2
2015-12-13,2,1
2015-12-20,2,1
2015-12-27,2,1
