Category: All categories

Week,odd even rule: (India)
2017-01-01,2
2017-01-08,2
2017-01-15,1
2017-01-22,<1
2017-01-29,1
2017-02-05,1
2017-02-12,1
2017-02-19,2
2017-02-26,2
2017-03-05,2
2017-03-12,1
2017-03-19,1
2017-03-26,2
2017-04-02,<1
2017-04-09,<1
2017-04-16,2
2017-04-23,1
2017-04-30,<1
2017-05-07,1
2017-05-14,1
2017-05-21,1
2017-05-28,1
2017-06-04,1
2017-06-11,1
2017-06-18,2
2017-06-25,1
2017-07-02,1
2017-07-09,1
2017-07-16,<1
2017-07-23,<1
2017-07-30,<1
2017-08-06,<1
2017-08-13,<1
2017-08-20,<1
2017-08-27,2
2017-09-03,1
2017-09-10,2
2017-09-17,1
2017-09-24,1
2017-10-01,1
2017-10-08,2
2017-10-15,1
2017-10-22,1
2017-10-29,3
2017-11-05,100
2017-11-12,94
2017-11-19,3
2017-11-26,3
2017-12-03,4
2017-12-10,1
2017-12-17,1
2017-12-24,1
2017-12-31,<1
