Category: All categories

Week,farmer protest: (India)
2017-01-01,8
2017-01-08,8
2017-01-15,8
2017-01-22,8
2017-01-29,0
2017-02-05,0
2017-02-12,0
2017-02-19,8
2017-02-26,0
2017-03-05,0
2017-03-12,12
2017-03-19,19
2017-03-26,48
2017-04-02,19
2017-04-09,69
2017-04-16,49
2017-04-23,66
2017-04-30,19
2017-05-07,11
2017-05-14,0
2017-05-21,0
2017-05-28,25
2017-06-04,100
2017-06-11,39
2017-06-18,44
2017-06-25,11
2017-07-02,7
2017-07-09,7
2017-07-16,21
2017-07-23,7
2017-07-30,7
2017-08-06,14
2017-08-13,28
2017-08-20,11
2017-08-27,8
2017-09-03,15
2017-09-10,41
2017-09-17,11
2017-09-24,15
2017-10-01,27
2017-10-08,30
2017-10-15,16
2017-10-22,7
2017-10-29,0
2017-11-05,0
2017-11-12,7
2017-11-19,14
2017-11-26,25
2017-12-03,14
2017-12-10,0
2017-12-17,0
2017-12-24,0
2017-12-31,0
