Category: All categories

Week,paid maternity leave: (India)
2017-01-01,26
2017-01-08,26
2017-01-15,25
2017-01-22,50
2017-01-29,50
2017-02-05,0
2017-02-12,37
2017-02-19,37
2017-02-26,50
2017-03-05,85
2017-03-12,100
2017-03-19,48
2017-03-26,96
2017-04-02,74
2017-04-09,25
2017-04-16,49
2017-04-23,24
2017-04-30,61
2017-05-07,36
2017-05-14,38
2017-05-21,49
2017-05-28,35
2017-06-04,93
2017-06-11,57
2017-06-18,44
2017-06-25,23
2017-07-02,23
2017-07-09,23
2017-07-16,23
2017-07-23,68
2017-07-30,33
2017-08-06,45
2017-08-13,46
2017-08-20,46
2017-08-27,25
2017-09-03,24
2017-09-10,48
2017-09-17,47
2017-09-24,25
2017-10-01,0
2017-10-08,36
2017-10-15,52
2017-10-22,24
2017-10-29,70
2017-11-05,93
2017-11-12,0
2017-11-19,23
2017-11-26,70
2017-12-03,46
2017-12-10,67
2017-12-17,33
2017-12-24,23
2017-12-31,55
