Category: All categories

Week,"West Bengal Legislative Assembly election, 2016: (India)"
2016-01-03,1
2016-01-10,2
2016-01-17,1
2016-01-24,1
2016-01-31,1
2016-02-07,1
2016-02-14,1
2016-02-21,2
2016-02-28,18
2016-03-06,13
2016-03-13,9
2016-03-20,10
2016-03-27,15
2016-04-03,23
2016-04-10,19
2016-04-17,30
2016-04-24,26
2016-05-01,26
2016-05-08,21
2016-05-15,100
2016-05-22,7
2016-05-29,3
2016-06-05,2
2016-06-12,1
2016-06-19,1
2016-06-26,1
2016-07-03,1
2016-07-10,1
2016-07-17,1
2016-07-24,1
2016-07-31,1
2016-08-07,1
2016-08-14,<1
2016-08-21,<1
2016-08-28,<1
2016-09-04,<1
2016-09-11,<1
2016-09-18,<1
2016-09-25,<1
2016-10-02,<1
2016-10-09,<1
2016-10-16,1
2016-10-23,<1
2016-10-30,<1
2016-11-06,<1
2016-11-13,1
2016-11-20,1
2016-11-27,1
2016-12-04,<1
2016-12-11,<1
2016-12-18,<1
2016-12-25,<1
