Category: All categories

Week,"Puducherry Legislative Assembly election, 2016: (India)"
2016-01-03,1
2016-01-10,0
2016-01-17,0
2016-01-24,0
2016-01-31,0
2016-02-07,0
2016-02-14,1
2016-02-21,1
2016-02-28,2
2016-03-06,1
2016-03-13,2
2016-03-20,0
2016-03-27,2
2016-04-03,2
2016-04-10,3
2016-04-17,3
2016-04-24,7
2016-05-01,7
2016-05-08,5
2016-05-15,100
2016-05-22,9
2016-05-29,2
2016-06-05,2
2016-06-12,2
2016-06-19,1
2016-06-26,2
2016-07-03,0
2016-07-10,0
2016-07-17,0
2016-07-24,1
2016-07-31,0
2016-08-07,0
2016-08-14,0
2016-08-21,0
2016-08-28,1
2016-09-04,0
2016-09-11,0
2016-09-18,0
2016-09-25,2
2016-10-02,0
2016-10-09,0
2016-10-16,0
2016-10-23,1
2016-10-30,0
2016-11-06,2
2016-11-13,1
2016-11-20,3
2016-11-27,0
2016-12-04,0
2016-12-11,1
2016-12-18,0
2016-12-25,0
