Category: All categories

Week,Demonization: (India)
2016-01-03,<1
2016-01-10,1
2016-01-17,0
2016-01-24,<1
2016-01-31,<1
2016-02-07,<1
2016-02-14,1
2016-02-21,1
2016-02-28,<1
2016-03-06,1
2016-03-13,0
2016-03-20,1
2016-03-27,1
2016-04-03,1
2016-04-10,0
2016-04-17,<1
2016-04-24,2
2016-05-01,1
2016-05-08,<1
2016-05-15,<1
2016-05-22,<1
2016-05-29,<1
2016-06-05,1
2016-06-12,1
2016-06-19,1
2016-06-26,2
2016-07-03,1
2016-07-10,1
2016-07-17,1
2016-07-24,<1
2016-07-31,<1
2016-08-07,1
2016-08-14,<1
2016-08-21,1
2016-08-28,1
2016-09-04,1
2016-09-11,1
2016-09-18,<1
2016-09-25,<1
2016-10-02,1
2016-10-09,1
2016-10-16,<1
2016-10-23,<1
2016-10-30,<1
2016-11-06,15
2016-11-13,81
2016-11-20,100
2016-11-27,67
2016-12-04,59
2016-12-11,35
2016-12-18,27
2016-12-25,22
