Category: All categories

Week,jayalalithaa convicted: (India),Disproportionate assets case: (India)
2014-01-05,0,4
2014-01-12,0,0
2014-01-19,0,0
2014-01-26,0,4
2014-02-02,0,4
2014-02-09,0,0
2014-02-16,0,4
2014-02-23,0,0
2014-03-02,0,0
2014-03-09,0,4
2014-03-16,0,4
2014-03-23,0,3
2014-03-30,0,4
2014-04-06,0,4
2014-04-13,0,4
2014-04-20,0,0
2014-04-27,0,0
2014-05-04,0,4
2014-05-11,0,5
2014-05-18,0,0
2014-05-25,0,0
2014-06-01,0,0
2014-06-08,0,0
2014-06-15,0,4
2014-06-22,0,4
2014-06-29,0,4
2014-07-06,0,4
2014-07-13,0,4
2014-07-20,0,0
2014-07-27,0,4
2014-08-03,0,0
2014-08-10,0,0
2014-08-17,0,0
2014-08-24,0,4
2014-08-31,0,4
2014-09-07,0,0
2014-09-14,0,4
2014-09-21,41,100
2014-09-28,7,56
2014-10-05,4,20
2014-10-12,0,4
2014-10-19,4,4
2014-10-26,4,12
2014-11-02,0,4
2014-11-09,0,4
2014-11-16,4,17
2014-11-23,0,8
2014-11-30,0,4
2014-12-07,0,0
2014-12-14,0,4
2014-12-21,0,0
2014-12-28,0,8
