Category: All categories

Week,supreme court transgender: (India),meaning of transgender: (India)
2014-01-05,0,10
2014-01-12,0,21
2014-01-19,10,0
2014-01-26,0,15
2014-02-02,0,22
2014-02-09,0,20
2014-02-16,0,10
2014-02-23,0,10
2014-03-02,0,0
2014-03-09,0,15
2014-03-16,0,10
2014-03-23,0,10
2014-03-30,0,10
2014-04-06,0,10
2014-04-13,100,65
2014-04-20,35,25
2014-04-27,20,25
2014-05-04,20,15
2014-05-11,9,28
2014-05-18,10,10
2014-05-25,19,10
2014-06-01,10,10
2014-06-08,0,15
2014-06-15,10,0
2014-06-22,0,0
2014-06-29,10,0
2014-07-06,10,26
2014-07-13,11,17
2014-07-20,0,11
2014-07-27,11,17
2014-08-03,0,12
2014-08-10,12,12
2014-08-17,0,12
2014-08-24,0,12
2014-08-31,11,11
2014-09-07,0,11
2014-09-14,23,39
2014-09-21,11,50
2014-09-28,12,12
2014-10-05,11,11
2014-10-12,11,22
2014-10-19,24,30
2014-10-26,11,17
2014-11-02,0,11
2014-11-09,11,32
2014-11-16,11,17
2014-11-23,11,17
2014-11-30,0,0
2014-12-07,0,11
2014-12-14,0,22
2014-12-21,0,22
2014-12-28,0,11
