Category: All categories

Week,farmers protest: (India)
2017-01-01,<1
2017-01-08,0
2017-01-15,1
2017-01-22,0
2017-01-29,0
2017-02-05,<1
2017-02-12,0
2017-02-19,0
2017-02-26,<1
2017-03-05,1
2017-03-12,1
2017-03-19,5
2017-03-26,12
2017-04-02,6
2017-04-09,17
2017-04-16,7
2017-04-23,19
2017-04-30,2
2017-05-07,1
2017-05-14,2
2017-05-21,1
2017-05-28,2
2017-06-04,100
2017-06-11,11
2017-06-18,6
2017-06-25,2
2017-07-02,2
2017-07-09,1
2017-07-16,3
2017-07-23,4
2017-07-30,1
2017-08-06,2
2017-08-13,1
2017-08-20,2
2017-08-27,1
2017-09-03,1
2017-09-10,4
2017-09-17,2
2017-09-24,2
2017-10-01,2
2017-10-08,1
2017-10-15,2
2017-10-22,1
2017-10-29,1
2017-11-05,1
2017-11-12,1
2017-11-19,4
2017-11-26,1
2017-12-03,1
2017-12-10,<1
2017-12-17,1
2017-12-24,1
2017-12-31,1
